session_id,user_id,session_start_ts,device
1,1,2024-05-11 08:41:41,tablet
2,1,2024-05-04 07:07:41,mobile
3,2,2024-03-08 00:45:39,tablet
4,3,2024-03-17 20:22:39,tablet
5,4,2024-04-24 00:27:14,tablet
6,4,2024-04-25 22:42:14,mobile
7,4,2024-04-16 01:34:14,mobile
8,4,2024-04-16 10:56:14,mobile
9,4,2024-04-25 08:33:14,desktop
10,5,2024-06-05 01:54:46,mobile
11,5,2024-05-21 15:23:46,tablet
12,5,2024-06-03 04:37:46,mobile
13,5,2024-05-25 02:41:46,mobile
14,5,2024-05-23 00:48:46,tablet
15,6,2024-06-28 14:04:20,tablet
16,6,2024-07-09 08:32:20,desktop
17,7,2024-01-24 14:53:06,desktop
18,7,2024-01-31 04:41:06,tablet
19,7,2024-02-04 00:14:06,tablet
20,7,2024-01-19 14:53:06,tablet
21,7,2024-02-12 13:32:06,desktop
22,7,2024-02-03 21:45:06,tablet
23,8,2024-06-29 06:24:38,tablet
24,8,2024-07-17 19:00:38,mobile
25,9,2024-04-11 23:02:03,mobile
26,9,2024-05-04 23:45:03,mobile
27,9,2024-04-30 23:25:03,tablet
28,10,2024-02-11 19:02:51,desktop
29,10,2024-02-24 16:44:51,tablet
30,10,2024-02-17 08:58:51,desktop
31,11,2024-05-13 12:19:04,mobile
32,12,2024-05-14 08:19:46,mobile
33,12,2024-04-26 23:51:46,mobile
34,12,2024-05-01 22:27:46,desktop
35,12,2024-05-05 20:46:46,desktop
36,12,2024-05-17 08:09:46,tablet
37,12,2024-05-14 09:40:46,mobile
38,13,2024-02-05 10:00:50,desktop
39,13,2024-02-06 00:00:50,mobile
40,13,2024-01-24 13:17:50,mobile
41,13,2024-01-23 10:50:50,desktop
42,13,2024-02-05 14:57:50,desktop
43,14,2024-05-31 03:49:05,mobile
44,14,2024-06-07 22:28:05,tablet
45,15,2024-04-09 21:47:09,mobile
46,15,2024-04-28 23:28:09,desktop
47,15,2024-04-26 18:14:09,desktop
48,15,2024-04-26 09:17:09,desktop
49,15,2024-04-14 14:18:09,tablet
50,16,2024-05-11 01:56:11,tablet
51,17,2024-01-28 14:27:47,desktop
52,17,2024-02-17 18:16:47,desktop
53,17,2024-02-11 20:15:47,tablet
54,17,2024-02-15 08:15:47,tablet
55,17,2024-02-10 13:28:47,mobile
56,18,2024-02-10 11:22:23,tablet
57,18,2024-02-08 21:41:23,desktop
58,18,2024-02-08 05:56:23,mobile
